flyTime,localTime,windSpeed
16.0,5:58:04.90 PM,0.2995168
16.1,5:58:04.97 PM,0.2995168
16.2,5:58:05.07 PM,0.2995168
16.3,5:58:05.18 PM,0.2995168
16.4,5:58:05.28 PM,0.2995168
16.5,5:58:05.39 PM,0.2995168
16.6,5:58:05.49 PM,0.2995168
16.7,5:58:05.59 PM,0.2995168
16.8,5:58:05.69 PM,0.2995168
16.9,5:58:05.80 PM,0.3978656
17.0,5:58:05.90 PM,0.3978656
17.1,5:58:06.00 PM,0.3978656
17.2,5:58:06.11 PM,0.3978656
17.3,5:58:06.21 PM,0.3978656
17.4,5:58:06.31 PM,0.3978656
17.5,5:58:06.42 PM,0.3978656
17.6,5:58:06.52 PM,0.3978656
17.7,5:58:06.62 PM,0.3978656
17.8,5:58:06.72 PM,0.3978656
17.9,5:58:06.83 PM,0.3978656
18.0,5:58:06.93 PM,0.3978656
18.1,5:58:07.03 PM,0.3978656
18.2,5:58:07.13 PM,0.3978656
18.3,5:58:07.20 PM,0.3978656
18.4,5:58:07.30 PM,0.49621440000000006
18.5,5:58:07.40 PM,0.49621440000000006
18.6,5:58:07.50 PM,0.49621440000000006
18.7,5:58:07.60 PM,0.49621440000000006
18.8,5:58:07.70 PM,0.49621440000000006
18.9,5:58:07.80 PM,0.49621440000000006
19.0,5:58:07.90 PM,0.49621440000000006
19.1,5:58:08.00 PM,0.49621440000000006
19.2,5:58:08.10 PM,0.49621440000000006
19.3,5:58:08.16 PM,0.49621440000000006
19.4,5:58:08.26 PM,0.49621440000000006
19.5,5:58:08.37 PM,0.49621440000000006
19.6,5:58:08.47 PM,0.49621440000000006
19.7,5:58:08.57 PM,0.49621440000000006
19.8,5:58:08.68 PM,0.49621440000000006
19.9,5:58:08.78 PM,0.49621440000000006
20.0,5:58:08.88 PM,0.49621440000000006
20.1,5:58:08.98 PM,0.49621440000000006
20.2,5:58:09.09 PM,0.49621440000000006
20.3,5:58:09.19 PM,0.49621440000000006
20.4,5:58:09.29 PM,0.49621440000000006
20.5,5:58:09.39 PM,0.49621440000000006
20.6,5:58:09.50 PM,0.49621440000000006
20.7,5:58:09.60 PM,0.49621440000000006
20.8,5:58:09.70 PM,0.49621440000000006
20.9,5:58:09.81 PM,0.5990336
21.0,5:58:09.91 PM,0.5990336
21.1,5:58:10.01 PM,0.5990336
21.2,5:58:10.12 PM,0.5990336
21.3,5:58:10.22 PM,0.5990336
21.4,5:58:10.32 PM,0.5990336
21.5,5:58:10.43 PM,0.5990336
21.6,5:58:10.53 PM,0.5990336
21.7,5:58:10.63 PM,0.5990336
21.8,5:58:10.73 PM,0.5990336
21.9,5:58:10.83 PM,0.5990336
22.0,5:58:10.90 PM,0.49621440000000006
22.1,5:58:11.04 PM,0.49621440000000006
22.2,5:58:11.10 PM,0.49621440000000006
22.3,5:58:11.20 PM,0.49621440000000006
22.4,5:58:11.30 PM,0.49621440000000006
22.5,5:58:11.40 PM,0.49621440000000006
22.6,5:58:11.50 PM,0.49621440000000006
22.7,5:58:11.60 PM,0.49621440000000006
22.8,5:58:11.70 PM,0.49621440000000006
22.9,5:58:11.76 PM,0.49621440000000006
23.0,5:58:11.86 PM,0.49621440000000006
23.1,5:58:12.00 PM,0.49621440000000006
23.2,5:58:12.07 PM,0.49621440000000006
23.3,5:58:12.17 PM,0.49621440000000006
23.4,5:58:12.28 PM,0.49621440000000006
23.5,5:58:12.38 PM,0.49621440000000006
23.6,5:58:12.49 PM,0.49621440000000006
23.7,5:58:12.59 PM,0.49621440000000006
23.8,5:58:12.70 PM,0.49621440000000006
23.9,5:58:12.80 PM,0.49621440000000006
24.0,5:58:12.90 PM,0.49621440000000006
24.1,5:58:13.00 PM,0.3978656
24.2,5:58:13.10 PM,0.3978656
24.3,5:58:13.21 PM,0.3978656
24.4,5:58:13.31 PM,0.3978656
24.5,5:58:13.41 PM,0.3978656
24.6,5:58:13.52 PM,0.3978656
24.7,5:58:13.62 PM,0.3978656
24.8,5:58:13.72 PM,0.3978656
24.9,5:58:13.83 PM,0.3978656
25.0,5:58:13.93 PM,0.3978656
25.1,5:58:14.00 PM,0.3978656
25.2,5:58:14.10 PM,0.3978656
25.3,5:58:14.20 PM,0.3978656
25.4,5:58:14.30 PM,0.3978656
25.5,5:58:14.40 PM,0.3978656
25.6,5:58:14.50 PM,0.3978656
25.7,5:58:14.60 PM,0.3978656
25.8,5:58:14.67 PM,0.3978656
25.9,5:58:14.77 PM,0.3978656
26.0,5:58:14.87 PM,0.3978656
26.1,5:58:14.97 PM,0.3978656
26.2,5:58:15.07 PM,0.3978656
26.3,5:58:15.17 PM,0.3978656
26.4,5:58:15.30 PM,0.3978656
26.5,5:58:15.38 PM,0.3978656
26.6,5:58:15.48 PM,0.3978656
26.7,5:58:15.59 PM,0.3978656
26.8,5:58:15.69 PM,0.3978656
26.9,5:58:15.79 PM,0.3978656
27.0,5:58:15.89 PM,0.2995168
27.1,5:58:16.00 PM,0.2995168
27.2,5:58:16.10 PM,0.2995168
27.3,5:58:16.20 PM,0.2995168
27.4,5:58:16.31 PM,0.2995168
27.5,5:58:16.41 PM,0.2995168
27.6,5:58:16.51 PM,0.2995168
27.7,5:58:16.62 PM,0.2995168
27.8,5:58:16.73 PM,0.2995168
27.9,5:58:16.83 PM,0.2995168
28.0,5:58:16.93 PM,0.2995168
28.1,5:58:17.03 PM,0.2995168
28.2,5:58:17.13 PM,0.2995168
28.3,5:58:17.24 PM,0.2995168
28.4,5:58:17.34 PM,0.2995168
28.5,5:58:17.40 PM,0.2995168
28.6,5:58:17.50 PM,0.2995168
28.7,5:58:17.60 PM,0.2995168
28.8,5:58:17.70 PM,0.2995168
28.9,5:58:17.80 PM,0.1966976
29.0,5:58:17.90 PM,0.1966976
29.1,5:58:17.97 PM,0.1966976
29.2,5:58:18.10 PM,0.1966976
29.3,5:58:18.16 PM,0.1966976
29.4,5:58:18.30 PM,0.1966976
29.5,5:58:18.40 PM,0.1966976
29.6,5:58:18.47 PM,0.1966976
29.7,5:58:18.57 PM,0.1966976
29.8,5:58:18.67 PM,0.1966976
29.9,5:58:18.80 PM,0.1966976
30.0,5:58:18.88 PM,0.1966976
30.1,5:58:18.98 PM,0.1966976
30.2,5:58:19.09 PM,0.1966976
30.3,5:58:19.19 PM,0.1966976
30.4,5:58:19.30 PM,0.1966976
30.5,5:58:19.41 PM,0.1966976
30.6,5:58:19.51 PM,0.1966976
30.7,5:58:19.61 PM,0.1966976
30.8,5:58:19.71 PM,0.0983488
30.9,5:58:19.82 PM,0.0983488
31.0,5:58:19.92 PM,0.0983488
31.1,5:58:20.02 PM,0.1966976
31.2,5:58:20.13 PM,0.1966976
31.3,5:58:20.23 PM,0.1966976
31.4,5:58:20.33 PM,0.1966976
31.5,5:58:20.43 PM,0.1966976
31.6,5:58:20.54 PM,0.1966976
