0.903819,214130,   0.00   0.00   0.05   0.00   0.00 122.4   0.0 345.72   23.44
0.903821,214130,   0.01   0.00   0.03   0.00   0.00 122.4   0.0 345.74   23.48
0.903822,214130,   0.04   0.01   0.06   0.00   0.00 122.4   0.0 345.76   23.51
0.903823,214130,   0.04   0.01   0.06   0.00   0.00 122.4   0.0 345.76   23.51
0.903824,214130,   0.00   0.00   0.07   0.00   0.00 122.4   0.0 345.76   23.53
0.903825,214130,   0.00   0.00   0.07   0.00   0.00 122.4   0.0 345.76   23.53
0.903826,214130,   0.01   0.00   0.09   0.00   0.10  94.4  77.1 345.74   23.50
0.903828,214130,   0.06   0.00   0.08   0.00   0.11  94.4  50.1 345.74   23.48
0.903829,214130,   0.00  -0.02   0.08   0.00   0.00  94.4   0.0 345.70   23.43
0.90383,214130,   0.00  -0.02   0.08   0.00   0.00  94.4   0.0 345.70   23.43
0.903831,214131,   0.00  -0.02   0.08   0.00   0.00  94.4   0.0 345.70   23.43
0.903832,214131,   0.00  -0.02   0.08   0.00   0.00  94.4   0.0 345.70   23.43
0.903833,214131,   0.00  -0.02   0.08   0.00   0.00  94.4   0.0 345.66   23.36
0.903834,214131,   0.00  -0.02   0.08   0.00   0.00  94.4   0.0 345.66   23.36
0.903836,214131,   0.00  -0.02   0.08   0.00   0.00  94.4   0.0 345.66   23.36
0.903837,214131,   0.00   0.00   0.05   0.00   0.00  94.4   0.0 345.68   23.39
0.903838,214131,  -0.01  -0.02   0.03   0.00   0.00  94.4   0.0 345.70   23.41
0.903839,214131,  -0.01  -0.02   0.03   0.00   0.00  94.4   0.0 345.70   23.41
0.90384,214131,  -0.01  -0.02   0.03   0.00   0.00  94.4   0.0 345.70   23.41
0.903841,214131,  -0.01  -0.02   0.03   0.00   0.00  94.4   0.0 345.70   23.41
0.903843,214132,  -0.01  -0.02   0.03   0.00   0.00  94.4   0.0 345.70   23.41
0.903844,214132,  -0.01  -0.02   0.03   0.00   0.00  94.4   0.0 345.70   23.41
0.903845,214132,  -0.01  -0.02   0.03   0.00   0.00  94.4   0.0 345.70   23.41
0.903846,214132,  -0.01  -0.02   0.03   0.00   0.00  94.4   0.0 345.70   23.41
0.903847,214132,   0.00   0.00  -0.05   0.00   0.00  94.4   0.0 345.72   23.44
0.903848,214132,   0.00   0.00  -0.05   0.00   0.00  94.4   0.0 345.72   23.44
0.90385,214132,   0.00   0.00  -0.05   0.00   0.00  94.4   0.0 345.72   23.44
0.903851,214132,   0.00   0.00  -0.05   0.00   0.00  94.4   0.0 345.72   23.44
0.903852,214132,   0.00   0.00  -0.05   0.00   0.00  94.4   0.0 345.72   23.44
0.903853,214132,   0.00   0.00  -0.05   0.00   0.00  94.4   0.0 345.72   23.44
0.903854,214133,   0.00   0.00  -0.05   0.00   0.00  94.4   0.0 345.72   23.44
0.903855,214133,   0.00   0.00  -0.05   0.00   0.00  94.4   0.0 345.72   23.44
0.903856,214133,   0.00   0.00  -0.05   0.00   0.00  94.4   0.0 345.72   23.44
0.903858,214133,   0.00   0.00  -0.05   0.00   0.00  94.4   0.0 345.72   23.44
0.903859,214133,   0.00   0.00  -0.05   0.00   0.00  94.4   0.0 345.72   23.44
0.90386,214133,   0.00   0.00  -0.05   0.00   0.00  94.4   0.0 345.72   23.44
0.903861,214133,   0.00   0.00  -0.05   0.00   0.00  94.4   0.0 345.72   23.44
0.903862,214133,  -0.01  -0.02   0.03   0.00   0.00  94.4   0.0 345.74   23.48
0.903863,214133,  -0.01  -0.02   0.03   0.00   0.00  94.4   0.0 345.74   23.48
0.903865,214133,   0.00   0.00  -0.05   0.00   0.00  94.4   0.0 345.74   23.50
