000000,  -1.01  -4.18  -1.02   21.08 344.34
000000,  -0.93  -4.26  -1.33   21.06 344.32
000000,  -0.66  -4.12  -1.80   21.06 344.32
000000,  -0.75  -4.26  -1.58   21.09 344.34
000001,  -1.38  -3.49  -0.75   21.07 344.34
000001,  -2.22  -2.54  -0.73   21.08 344.34
000001,  -1.80  -2.49   0.16   21.07 344.34
000001,  -1.52  -3.28   0.05   21.07 344.34
000001,  -0.74  -2.30   0.97   21.01 344.30
000002,  -1.19  -1.64   1.04   21.03 344.30
000002,  -0.74  -1.81   1.21   21.08 344.34
000002,  -0.87  -3.31   0.55   21.05 344.32
000002,  -1.29  -2.73   0.86   21.07 344.34
000002,  -1.46  -3.10   0.61   21.07 344.34
000003,  -1.10  -2.62   0.95   21.09 344.34
000003,  -0.21  -2.69   1.71   21.07 344.34
000003,   0.37  -2.63   1.20   21.09 344.34
000003,   0.85  -3.57   1.09   21.10 344.34
000003,   0.24  -3.34   0.76   21.12 344.36
000004,   0.60  -3.33   0.94   21.12 344.36
000004,   0.38  -3.78   1.03   21.10 344.34
000004,   0.00  -3.70   1.16   21.03 344.30
000004,   0.05  -3.74   1.11   21.05 344.32
000004,  -0.39  -4.16   1.39   21.08 344.34
000005,  -0.15  -3.83   1.13   21.02 344.30
000005,  -0.31  -3.42   0.70   21.08 344.34
000005,  -0.52  -4.17   0.12   21.06 344.32
000005,  -0.87  -4.28   1.34   21.04 344.32
000005,  -0.34  -4.56   0.66   21.04 344.32
000006,  -0.09  -4.92   0.83   21.04 344.32
000006,  -0.40  -4.33   1.36   21.03 344.30
000006,   0.89  -4.77   2.07   21.04 344.32
000006,  -0.48  -4.62   1.29   21.00 344.28
000006,  -1.21  -3.97   0.03   20.99 344.28
000007,  -0.91  -3.06  -0.58   21.01 344.30
000007,  -1.27  -4.01  -0.08   20.97 344.28
000007,  -1.59  -3.81  -0.99   21.09 344.34
000007,  -1.00  -4.02  -0.74   21.08 344.34
000007,  -0.76  -3.63   0.05   21.02 344.30
000008,  -1.39  -3.76   0.45   21.09 344.34
000008,  -1.49  -3.26   0.36   21.12 344.36
000008,  -1.65  -3.79   0.02   21.13 344.36
000008,  -0.86  -4.51  -0.33   21.08 344.34
000008,  -1.49  -4.20  -0.97   21.08 344.34
000009,  -1.38  -4.70  -1.06   21.12 344.36
000009,  -1.08  -4.43  -0.43   21.08 344.34
000009,  -1.33  -4.37  -0.09   21.08 344.34
000009,  -1.11  -4.90   0.19   21.04 344.32
000009,  -1.46  -4.18  -0.19   21.11 344.36
000010,  -1.53  -3.62   0.19   21.10 344.34
000010,  -1.47  -3.93   0.21   21.06 344.32
000010,  -0.94  -5.03   0.57   21.04 344.32
000010,  -0.26  -4.39   0.51   21.06 344.32
000010,  -0.64  -4.19   0.32   21.03 344.30
000011,  -0.75  -4.40   0.78   21.06 344.32
000011,  -0.23  -4.65   1.32   21.05 344.32
000011,  -0.78  -4.56   1.80   21.02 344.30
000011,  -0.38  -3.91   0.11   21.05 344.32
000011,  -0.67  -4.53   0.22   21.03 344.30
000012,  -1.14  -3.33  -0.41   21.02 344.30
000012,  -0.47  -3.84  -0.36   21.05 344.32
000012,  -0.46  -3.42  -0.49   21.07 344.34
000012,  -0.97  -3.82  -0.86   21.02 344.30
000012,  -0.70  -4.10  -0.63   21.09 344.34
000013,  -0.55  -4.36  -0.94   21.04 344.32
000013,  -0.43  -3.77  -1.45   21.05 344.32
000013,  -1.01  -3.67  -1.50   21.05 344.32
000013,  -0.15  -4.47  -0.98   21.11 344.36
000013,  -0.57  -4.51  -0.52   21.08 344.34
000014,   0.04  -4.04  -0.19   21.01 344.30
000014,   0.05  -3.64  -0.17   21.02 344.30
000014,   0.62  -3.03  -0.03   21.01 344.30
000014,   0.33  -3.56   0.07   21.00 344.28
000014,   0.08  -4.70  -0.18   21.04 344.32
000015,   0.00  -4.51  -0.29   21.03 344.30
000015,  -0.07  -4.07  -1.05   21.08 344.34
000015,   0.25  -4.49  -0.09   20.97 344.28
000015,  -1.22  -4.55  -1.68   21.04 344.32
000015,  -1.36  -4.76  -1.82   21.05 344.32
000016,  -0.37  -4.89  -1.07   21.05 344.32
000016,  -0.59  -4.28  -0.42   21.04 344.32
000016,  -0.42  -3.99  -0.26   21.06 344.32
000016,  -0.07  -3.81  -0.14   21.07 344.34
000016,  -0.12  -3.87  -0.86   21.00 344.28
000017,  -0.84  -3.63  -0.38   21.05 344.32
000017,  -0.88  -3.63  -0.26   21.03 344.30
000017,  -1.44  -3.39  -0.63   21.05 344.32
000017,  -1.51  -4.40  -0.84   21.07 344.34
000017,  -0.80  -4.03  -0.22   21.06 344.32
000018,  -0.32  -4.19  -0.16   21.13 344.36
000018,  -0.53  -4.30  -0.08   21.09 344.34
000018,   0.21  -4.02  -0.08   21.09 344.34
000018,   0.08  -4.68  -0.18   21.10 344.34
000018,   0.00  -4.30   0.06   21.08 344.34
000019,  -0.40  -3.23  -0.47   21.06 344.32
000019,  -0.86  -3.51  -0.71   21.07 344.34
000019,  -0.52  -3.86  -0.50   21.03 344.30
000019,  -1.10  -4.16  -0.08   21.04 344.32
000019,  -1.09  -4.74  -0.19   21.09 344.34
000020,  -0.96  -4.80  -0.57   21.05 344.32
000020,  -1.59  -4.72  -0.28   21.02 344.30
000020,  -1.18  -4.17  -0.02   21.06 344.32
000020,  -1.25  -4.73  -0.44   21.07 344.34
000020,  -1.23  -4.54  -0.44   21.09 344.34
000021,  -1.19  -4.53  -0.48   21.07 344.34
000021,  -1.04  -4.69  -0.70   21.09 344.34
000021,  -0.77  -4.49  -0.65   21.03 344.30
000021,  -0.60  -4.82  -0.62   21.07 344.34
000021,  -0.16  -4.69  -0.63   21.07 344.34
000022,  -0.21  -4.12  -0.66   21.04 344.32
000022,  -1.21  -3.58  -0.93   21.05 344.32
000022,  -0.96  -3.41  -0.36   21.07 344.34
000022,  -0.81  -3.58  -0.27   21.08 344.34
000022,  -0.35  -3.77  -0.62   21.08 344.34
000023,  -0.47  -3.05  -0.40   21.06 344.32
000023,   0.02  -3.67  -0.51   21.00 344.28
000023,  -0.24  -3.53  -0.07   21.03 344.30
000023,   0.24  -2.97   0.06   20.99 344.28
000023,  -0.03  -2.66   0.07   21.01 344.30
000024,   0.06  -3.21   0.47   21.06 344.32
000024,   0.02  -3.22   0.77   21.03 344.30
000024,  -0.11  -2.97   0.11   21.02 344.30
000024,   0.03  -2.92  -0.58   21.01 344.30
000024,  -0.16  -2.63  -1.21   21.06 344.32
000025,   0.30  -2.84   0.03   20.99 344.28
000025,   0.17  -2.56  -0.56   21.04 344.32
000025,   0.32  -2.25   0.46   21.00 344.28
000025,   0.15  -1.94   0.37   20.98 344.28
000025,  -0.12  -2.40   0.89   20.94 344.26
000026,  -0.75  -2.44   0.04   21.02 344.30
000026,  -0.80  -3.09   0.29   20.97 344.28
000026,  -0.90  -3.31   0.75   21.00 344.28
000026,  -0.43  -2.27  -0.06   21.01 344.30
000026,  -0.44  -1.84   0.31   21.01 344.30
000027,  -0.86  -2.26   0.00   20.99 344.28
000027,  -0.20  -2.72  -0.15   21.01 344.30
000027,  -0.68  -2.64  -0.05   20.99 344.28
000027,   0.31  -2.88  -0.36   21.02 344.30
000027,  -0.54  -3.44   0.56   21.03 344.30
000028,  -0.05  -3.66   0.00   21.03 344.30
000028,  -0.30  -3.81  -0.07   21.07 344.34
000028,  -0.49  -3.93   0.00   21.05 344.32
000028,  -0.71  -3.76  -0.21   21.03 344.30
000028,  -0.51  -3.63  -0.46   21.03 344.30
000029,  -0.43  -3.63  -0.33   21.03 344.30
000029,  -0.17  -3.66  -0.30   21.05 344.32
000029,   0.01  -3.54  -0.39   21.03 344.30
000029,   0.00  -3.97  -0.31   21.05 344.32
000029,   0.01  -4.15  -0.53   21.03 344.30
000030,  -0.08  -4.39  -0.23   21.03 344.30
000030,   0.07  -4.47  -0.32   21.06 344.32
000030,   0.15  -4.81  -0.26   21.07 344.34
000030,  -0.06  -4.66  -0.33   21.05 344.32
000030,   0.17  -3.89  -0.32   21.03 344.30
000031,  -0.16  -4.50  -0.25   21.01 344.30
000031,  -0.15  -4.99  -0.02   21.05 344.32
000031,   0.46  -4.59  -0.72   21.04 344.32
000031,   0.70  -4.51  -0.70   21.09 344.34
000031,   0.22  -4.93  -0.15   21.07 344.34
000032,  -0.02  -4.65   0.22   21.07 344.34
000032,  -0.13  -4.55   0.32   21.04 344.32
000032,  -0.36  -4.33   0.30   21.01 344.30
000032,  -1.61  -4.44  -0.04   21.07 344.34
000032,  -1.12  -3.67  -0.36   21.05 344.32
000033,  -0.33  -3.93  -0.50   21.07 344.34
000033,  -0.44  -4.04  -0.28   21.03 344.30
000033,  -0.31  -4.01  -0.23   21.11 344.36
000033,  -0.36  -3.94  -0.26   21.07 344.34
000033,   0.21  -4.18  -0.04   21.03 344.30
000034,   0.30  -3.93  -0.11   21.03 344.30
000034,  -0.14  -3.65  -0.66   21.10 344.34
000034,   0.41  -3.34  -0.52   21.07 344.34
000034,   0.12  -3.64  -0.24   21.03 344.30
000034,   0.06  -3.89  -0.28   21.07 344.34
000035,   0.05  -3.74  -0.27   21.05 344.32
000035,   0.17  -3.80  -0.21   21.03 344.30
000035,   0.05  -3.81  -0.07   21.03 344.30
000035,  -0.10  -3.76   0.18   21.10 344.34
000035,  -0.04  -3.73   0.09   21.07 344.34
000036,  -0.21  -3.60   0.05   21.10 344.34
000036,  -0.19  -3.53  -0.01   21.07 344.34
000036,  -0.10  -3.44   0.02   21.08 344.34
000036,  -0.19  -3.45   0.06   21.10 344.34
000036,  -0.05  -3.19   0.08   21.07 344.34
000037,   0.03  -3.40  -0.10   21.05 344.32
000037,  -0.01  -3.53   0.04   21.07 344.34
000037,   0.00  -3.56  -0.10   21.05 344.32
000037,   0.04  -3.53  -0.01   21.08 344.34
000037,   0.24  -3.42  -0.18   21.05 344.32
000038,   0.13  -3.51  -0.32   21.08 344.34
000038,  -0.15  -3.49  -0.32   21.07 344.34
000038,  -0.25  -3.51  -0.27   21.08 344.34
000038,  -0.12  -2.88  -0.57   21.06 344.32
000038,   0.13  -3.03  -0.47   21.09 344.34
000039,   0.41  -3.26  -0.29   21.05 344.32
000039,   0.06  -3.43  -0.22   21.08 344.34
000039,   0.14  -3.58   0.14   21.07 344.34
000039,  -0.12  -3.49   0.45   21.07 344.34
000039,  -0.26  -4.02   0.55   21.03 344.30
000040,  -0.24  -4.08   1.16   21.01 344.30
000040,  -1.07  -4.56   1.27   21.00 344.28
000040,  -2.19  -4.09   0.56   21.05 344.32
000040,  -1.94  -3.81   0.00   21.04 344.32
000040,  -2.10  -3.13  -0.17   21.03 344.30
000041,  -2.04  -2.74  -0.40   21.10 344.34
000041,  -2.40  -2.76  -0.57   21.02 344.30
000041,  -2.24  -3.21   0.31   21.10 344.34
000041,  -1.83  -3.38   0.20   21.05 344.32
000041,  -1.67  -3.24   0.52   21.05 344.32
000042,  -0.34  -3.30  -0.07   21.03 344.30
000042,  -1.34  -3.38  -0.74   21.07 344.34
000042,  -2.47  -3.71   0.06   20.97 344.28
000042,  -3.78  -3.12   0.59   21.07 344.34
000042,  -3.06  -2.87   1.44   21.01 344.30
000043,  -2.17  -3.53   1.08   21.04 344.32
000043,  -1.37  -3.37   1.43   21.10 344.34
000043,  -0.74  -3.31   1.50   21.08 344.34
000043,  -1.77  -3.69   0.72   21.06 344.32
000043,  -1.86  -3.61   0.31   21.08 344.34
000044,  -1.93  -3.04  -0.03   21.05 344.32
000044,  -2.17  -2.98  -0.19   21.12 344.36
000044,  -1.95  -2.53   0.15   21.04 344.32
000044,  -2.19  -2.39  -0.12   21.06 344.32
000044,  -2.20  -2.12  -0.05   21.09 344.34
000045,  -2.02  -1.97  -0.10   21.11 344.36
000045,  -1.84  -1.75   0.16   21.06 344.32
000045,  -1.35  -2.02   0.52   21.07 344.34
000045,  -1.33  -1.93   0.59   21.06 344.32
000045,  -1.47  -2.21   0.82   21.07 344.34
000046,  -1.35  -2.34   0.65   21.07 344.34
000046,  -1.18  -2.38   0.69   21.11 344.36
000046,  -0.50  -2.48   0.54   21.11 344.36
000046,  -0.76  -2.29   0.07   21.01 344.30
000046,  -0.74  -2.34  -0.54   21.06 344.32
000047,  -1.22  -2.57  -0.79   21.01 344.30
000047,  -1.24  -2.60  -0.47   21.06 344.32
000047,  -1.22  -2.56  -0.03   21.07 344.34
000047,  -2.04  -2.16  -0.14   21.06 344.32
000047,  -1.84  -1.56   0.02   21.07 344.34
000048,  -1.33  -1.17  -0.15   21.06 344.32
000048,  -0.58  -1.18  -1.01   21.00 344.28
000048,  -0.36  -1.50  -0.21   21.05 344.32
000048,  -0.50  -1.38   0.40   21.06 344.32
000048,  -0.49  -1.52   0.42   21.08 344.34
000049,   0.54  -2.26   0.09   21.06 344.32
000049,  -0.86  -2.18   0.37   21.04 344.32
000049,  -0.16  -2.16  -0.64   21.01 344.30
000049,  -0.41  -2.91  -0.75   21.04 344.32
000049,  -0.29  -1.90   0.09   21.03 344.30
000050,  -0.41  -1.78  -0.65   21.00 344.28
000050,  -0.83  -1.92  -0.57   21.03 344.30
000050,  -1.53  -1.84   0.25   21.02 344.30
000050,  -1.29  -2.71   0.49   21.01 344.30
000050,  -0.03  -2.04   0.13   21.06 344.32
000051,  -1.19  -2.70   0.78   20.99 344.28
000051,  -1.07  -2.69   1.08   21.02 344.30
000051,  -0.99  -2.73   1.07   21.02 344.30
000051,  -1.70  -2.77   0.20   21.02 344.30
000051,  -2.09  -3.22  -0.18   21.05 344.32
000052,  -2.16  -3.08  -0.34   21.08 344.34
000052,  -2.18  -3.49  -0.43   21.06 344.32
000052,  -2.52  -3.86  -0.09   21.06 344.32
000052,  -2.41  -4.07  -0.71   21.00 344.28
000052,  -2.05  -3.69  -0.69   21.09 344.34
000053,  -2.00  -3.59  -0.52   21.06 344.32
000053,  -2.07  -3.41  -0.53   21.08 344.34
000053,  -1.84  -3.55  -0.36   21.03 344.30
000053,  -1.71  -3.12  -0.76   21.10 344.34
000053,  -1.28  -3.15  -0.44   21.05 344.32
000054,  -1.15  -2.89   0.91   21.06 344.32
000054,  -1.84  -2.76   0.75   21.00 344.28
000054,  -1.00  -3.19   0.52   21.00 344.28
000054,  -0.85  -3.13   0.70   20.98 344.28
000054,  -0.55  -3.14   0.91   20.95 344.26
000055,  -0.14  -3.72   0.86   20.98 344.28
000055,   0.05  -3.75   0.81   21.07 344.34
000055,   0.29  -3.81   0.67   21.03 344.30
000055,   0.06  -3.59   0.77   21.00 344.28
000055,  -0.17  -3.71   0.79   21.05 344.32
000056,  -1.49  -3.94   0.52   21.04 344.32
000056,  -1.67  -3.95   0.42   21.03 344.30
000056,  -1.82  -4.15   0.48   21.06 344.32
000056,  -1.71  -3.93   0.35   21.04 344.32
000056,  -1.87  -3.64   0.62   21.04 344.32
000057,  -2.09  -3.43   0.26   21.04 344.32
000057,  -2.09  -3.61  -0.06   21.06 344.32
000057,  -1.94  -4.35  -0.26   21.12 344.36
000057,  -2.68  -3.93  -0.14   21.10 344.34
000057,  -2.13  -3.51  -0.30   21.03 344.30
000058,  -3.00  -4.11   0.37   21.05 344.32
000058,  -2.90  -3.02  -0.01   21.04 344.32
000058,  -2.63  -3.12   0.80   21.03 344.30
000058,  -2.85  -3.13   0.59   21.06 344.32
000058,  -1.98  -3.10   0.20   21.03 344.30
000059,  -1.38  -4.35   0.38   20.99 344.28
000059,  -1.64  -4.43   0.48   21.02 344.30
000059,  -2.13  -4.16   0.01   21.09 344.34
000059,  -2.31  -3.75  -0.14   21.08 344.34
000059,  -1.33  -3.66   0.44   21.02 344.30
000100,  -1.15  -3.49   0.10   21.05 344.32
000100,  -2.03  -3.65  -0.48   21.06 344.32
000100,  -1.84  -3.52  -0.45   21.08 344.34
000100,  -2.23  -3.08  -0.49   21.05 344.32
000100,  -1.95  -3.12  -0.61   21.07 344.34
000101,  -0.89  -3.40  -0.38   21.03 344.30
000101,  -0.61  -2.59  -0.68   21.07 344.34
000101,  -0.48  -2.60  -0.45   21.06 344.32
000101,  -0.26  -3.53  -0.06   21.02 344.30
000101,  -0.81  -3.47   0.11   21.05 344.32
000102,  -0.84  -3.28   0.22   21.05 344.32
000102,  -0.74  -3.11   0.03   21.02 344.30
000102,  -0.77  -3.13   0.23   20.92 344.24
000102,  -1.45  -3.12  -0.07   21.02 344.30
000102,  -2.17  -2.90  -0.49   21.08 344.34
000103,  -1.86  -2.90   0.29   20.93 344.24
000103,  -1.67  -3.73   0.21   21.03 344.30
000103,  -1.65  -4.31  -0.01   21.04 344.32
000103,  -2.06  -4.32   0.01   21.02 344.30
000103,  -2.26  -3.54   0.05   21.04 344.32
000104,  -2.15  -3.71  -0.23   21.06 344.32
000104,  -1.92  -3.75  -0.03   21.06 344.32
000104,  -1.82  -3.83  -0.01   21.11 344.36
000104,  -1.88  -3.81  -0.01   21.08 344.34
000104,  -1.75  -3.52  -0.04   21.07 344.34
000105,  -1.79  -3.08  -0.21   21.08 344.34
000105,  -1.64  -3.03  -0.19   21.08 344.34
000105,  -1.71  -2.64  -0.45   21.11 344.36
000105,  -1.58  -2.51  -0.44   21.11 344.36
000105,  -1.74  -2.58  -0.39   21.06 344.32
000106,  -1.82  -3.07  -0.30   21.10 344.34
000106,  -1.88  -3.24  -0.03   21.08 344.34
000106,  -2.14  -2.75  -0.16   21.08 344.34
000106,  -1.95  -2.97  -0.11   21.05 344.32
000106,  -1.21  -2.93  -0.09   21.07 344.34
000107,  -1.84  -3.40   0.02   21.07 344.34
000107,  -2.05  -3.39  -0.28   21.03 344.30
000107,  -2.29  -3.37  -0.42   21.04 344.32
000107,  -2.33  -3.22  -0.45   21.05 344.32
000107,  -2.23  -3.43  -0.48   21.08 344.34
000108,  -2.26  -3.64  -0.83   21.08 344.34
000108,  -1.71  -3.72  -0.65   21.08 344.34
000108,  -2.05  -3.51  -1.05   21.08 344.34
000108,  -1.84  -3.16  -1.00   21.05 344.32
000108,  -2.13  -3.18  -0.45   21.10 344.34
000109,  -2.53  -2.64  -0.87   21.07 344.34
000109,  -2.60  -2.95  -0.68   21.07 344.34
000109,  -2.69  -2.57  -0.86   21.05 344.32
000109,  -1.47  -2.87  -0.46   21.07 344.34
000109,  -0.94  -2.86  -0.59   21.09 344.34
000110,  -0.50  -3.52  -0.10   20.96 344.26
000110,  -0.13  -3.34   0.05   21.03 344.30
000110,  -0.12  -2.97   0.25   21.01 344.30
000110,  -0.60  -2.56   0.82   20.90 344.24
000110,  -0.51  -2.27   0.94   20.94 344.26
000111,  -0.08  -2.70   0.51   20.99 344.28
000111,   0.30  -2.57   0.13   21.01 344.30
000111,  -0.42  -2.37  -0.05   21.01 344.30
000111,  -0.85  -2.11  -0.28   20.94 344.26
000111,  -1.09  -1.44  -0.36   21.08 344.34
000112,  -0.68  -1.66  -0.37   21.05 344.32
000112,  -0.86  -1.77  -0.35   21.03 344.30
000112,  -0.94  -1.77  -0.11   21.00 344.28
000112,  -0.86  -1.66  -0.05   20.98 344.28
000112,  -0.67  -1.87  -0.22   21.05 344.32
000113,  -0.28  -1.99   0.17   21.05 344.32
000113,  -0.35  -1.75  -0.15   21.06 344.32
000113,  -0.33  -1.42  -0.15   21.05 344.32
000113,  -0.42  -1.08  -0.24   21.05 344.32
000113,  -0.89  -1.06   0.01   21.03 344.30
000114,  -0.75  -0.99   0.10   20.98 344.28
000114,  -0.84  -0.95   0.15   21.00 344.28
000114,  -0.79  -0.74   0.04   20.98 344.28
000114,  -0.84  -1.46  -0.02   21.00 344.28
000114,  -0.53  -1.87   0.22   21.05 344.32
000115,  -0.59  -2.45  -0.01   21.06 344.32
000115,  -0.65  -2.80   0.69   21.02 344.30
000115,  -0.90  -2.72   0.03   21.01 344.30
000115,  -1.14  -2.48   0.13   21.07 344.34
000115,  -1.27  -2.61  -0.11   21.04 344.32
000116,  -0.73  -2.40   0.51   21.02 344.30
000116,  -0.90  -1.61   0.34   21.00 344.28
000116,  -1.29  -1.32  -0.18   21.06 344.32
000116,  -1.25  -2.36   0.42   21.02 344.30
000116,   0.19  -2.47   0.32   21.04 344.32
000117,   0.38  -2.75   0.54   20.99 344.28
000117,   0.35  -2.86   0.90   20.92 344.24
000117,   0.11  -2.43   1.25   20.99 344.28
000117,  -0.76  -1.95   0.64   21.00 344.28
000117,  -0.98  -2.45   0.82   20.99 344.28
000118,  -2.38  -4.01  -0.02   21.05 344.32
000118,  -1.71  -3.68  -0.57   20.99 344.28
000118,  -1.80  -4.30   0.01   20.95 344.26
000118,  -1.61  -3.49  -0.44   21.07 344.34
000118,  -1.49  -3.30  -0.38   20.95 344.26
000119,  -1.35  -3.11  -0.12   20.88 344.22
000119,  -1.00  -2.99   0.06   20.94 344.26
000119,  -0.75  -2.39  -0.22   20.95 344.26
000119,  -0.27  -2.48  -0.75   21.02 344.30
000119,  -2.29  -1.60  -0.66   21.09 344.34
000120,  -2.56  -2.77  -0.31   21.10 344.34
000120,  -1.32  -2.08   0.02   21.09 344.34
000120,  -1.81  -2.41   0.05   21.09 344.34
000120,  -2.24  -2.47   0.10   21.07 344.34
000120,  -2.04  -2.39   0.08   21.09 344.34
000121,  -2.01  -2.16  -0.03   21.09 344.34
000121,  -1.78  -2.08  -0.18   21.06 344.32
000121,  -1.58  -2.05  -0.77   21.09 344.34
000121,  -1.09  -2.81  -1.14   21.16 344.38
000121,  -1.58  -3.35  -1.12   21.29 344.46
000122,  -0.99  -3.38  -0.70   21.20 344.40
000122,  -2.06  -2.89  -0.83   21.12 344.36
000122,  -1.89  -3.29  -0.49   21.13 344.36
000122,  -2.37  -2.91   0.11   21.10 344.34
000122,  -1.95  -2.54   0.33   21.07 344.34
000123,  -1.93  -2.19   0.35   21.09 344.34
000123,  -1.93  -2.04   0.66   21.07 344.34
000123,  -2.10  -2.05   0.59   21.12 344.36
000123,  -1.99  -2.67  -0.77   21.13 344.36
000123,  -2.60  -2.60  -0.49   21.15 344.38
000124,  -2.48  -2.14  -0.05   21.11 344.36
000124,  -2.41  -2.17  -0.03   21.16 344.38
000124,  -3.12  -1.82   0.14   21.13 344.36
000124,  -2.97  -1.49  -0.09   21.13 344.36
000124,  -1.79  -1.48   0.08   21.11 344.36
000125,  -0.32  -1.65   1.65   21.08 344.34
